area_type,availability,location,bhk,total_sqft,bath,balcony,price,price_per_sqft,sqft_per_bhk
Carpet  Area,Ready To Move,uttarahalli,3,1350.0,2.0,2.0,53.0,3925.925925925926,450.0
Super built-up  Area,15-Nov,kothanur,3,1760.0,3.0,0.0,150.0,8522.727272727272,586.6666666666666
Super built-up  Area,Ready To Move,pattandur agrahara,2,875.0,2.0,1.0,33.0,3771.4285714285716,437.5
Super built-up  Area,Ready To Move,hennur,2,1231.0,2.0,2.0,48.0,3899.268887083672,615.5
Super built-up  Area,Ready To Move,somasundara palya,2,1174.0,2.0,3.0,74.0,6303.236797274276,587.0
Built-up  Area,Ready To Move,munnekollal,3,1560.0,3.0,3.0,75.0,4807.692307692308,520.0
Plot  Area,Ready To Move,kanakpura road,3,2200.0,3.0,2.0,130.0,5909.090909090909,733.3333333333334
Built-up  Area,Ready To Move,shivaji nagar,2,850.0,2.0,2.0,55.0,6470.588235294118,425.0
Super built-up  Area,Ready To Move,1st phase jp nagar,3,2024.0,3.0,0.0,157.0,7756.916996047431,674.6666666666666
Super built-up  Area,Ready To Move,kodihalli,3,2408.0,4.0,2.0,260.0,10797.34219269103,802.6666666666666
Super built-up  Area,Ready To Move,devanahalli,2,1080.0,2.0,1.0,44.0,4074.074074074074,540.0
Super built-up  Area,Ready To Move,indira nagar,3,2070.0,3.0,2.0,225.0,10869.565217391304,690.0
Built-up  Area,18-Dec,electronic city,2,1020.0,2.0,1.0,29.46,2888.235294117647,510.0
Super built-up  Area,Ready To Move,begur road,3,1500.0,2.0,3.0,55.0,3666.6666666666665,500.0
Plot  Area,Ready To Move,kodichikkanahalli,4,3250.0,4.0,1.0,180.0,5538.461538461538,812.5
Super built-up  Area,Ready To Move,uttarahalli,2,1175.0,2.0,1.0,47.0,4000.0,587.5
Super built-up  Area,Ready To Move,channasandra,2,1030.0,2.0,1.0,34.5,3349.5145631067962,515.0
Super built-up  Area,18-Jul,hebbal,2,1440.0,2.0,1.0,115.0,7986.111111111111,720.0
Built-up  Area,Ready To Move,hoodi,2,1500.0,2.0,1.0,84.0,5600.0,750.0
Plot  Area,Ready To Move,thanisandra,1,1380.0,1.0,1.0,62.1,4500.0,1380.0
Super built-up  Area,Ready To Move,harlur,3,2240.0,5.0,2.0,155.0,6919.642857142857,746.6666666666666
Super built-up  Area,Ready To Move,hegde nagar,3,1584.01,3.0,1.0,103.0,6502.484201488627,528.0033333333333
Super built-up  Area,Ready To Move,r.t. nagar,2,1200.0,2.0,3.0,45.0,3750.0,600.0
Super built-up  Area,18-Nov,sarjapur  road,1,685.0,1.0,1.0,40.0,5839.41605839416,685.0
Super built-up  Area,Ready To Move,kalkere,2,925.0,2.0,3.0,42.0,4540.540540540541,462.5
Super built-up  Area,Ready To Move,kodichikkanahalli,2,1125.0,2.0,1.0,52.0,4622.222222222223,562.5
Super built-up  Area,Ready To Move,hebbal,2,1100.0,2.0,1.0,54.0,4909.090909090909,550.0
Plot  Area,18-Aug,jigani,3,2400.0,3.0,2.0,149.0,6208.333333333333,800.0
Super built-up  Area,18-Jul,electronic city phase ii,3,1400.0,2.0,2.0,41.58,2970.0,466.6666666666667
Super built-up  Area,Ready To Move,jakkur,3,1858.0,3.0,1.0,98.3,5290.635091496232,619.3333333333334
Built-up  Area,Ready To Move,ambedkar nagar,4,3530.0,4.0,2.0,290.0,8215.297450424929,882.5
Super built-up  Area,Ready To Move,hsr layout,2,1185.0,2.0,2.0,60.0,5063.291139240507,592.5
Super built-up  Area,Ready To Move,hennur,2,1255.0,2.0,1.0,58.0,4621.5139442231075,627.5
Super built-up  Area,Ready To Move,rajaji nagar,4,3436.0,6.0,3.0,475.0,13824.214202561117,859.0
Built-up  Area,Ready To Move,kudlu gate,3,1335.0,3.0,2.0,89.0,6666.666666666667,445.0
Super built-up  Area,Ready To Move,dodda nekkundi,3,1999.0,3.0,2.0,132.0,6603.301650825412,666.3333333333334
Super built-up  Area,Ready To Move,kundalahalli,3,1397.0,3.0,2.0,110.0,7874.0157480314965,465.6666666666667
Super built-up  Area,Ready To Move,cooke town,4,3950.0,4.0,0.0,450.0,11392.405063291139,987.5
Plot  Area,Ready To Move,yelahanka new town,2,1200.0,2.0,1.0,130.0,10833.333333333334,600.0
Plot  Area,Ready To Move,chikka tirupathi,3,1616.0,3.0,0.0,95.0,5878.712871287129,538.6666666666666
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2,1140.0,2.0,2.0,38.55,3381.578947368421,570.0
Super built-up  Area,21-Jan,kanakpura road,1,525.0,1.0,1.0,30.0,5714.285714285715,525.0
Plot  Area,Ready To Move,varthur,3,1200.0,2.0,1.0,98.0,8166.666666666667,400.0
Super built-up  Area,18-Jul,balagere,2,1205.47,2.0,1.0,81.0,6719.370867794304,602.735
Super built-up  Area,Ready To Move,electronic city,3,1700.0,3.0,2.0,75.0,4411.764705882353,566.6666666666666
Super built-up  Area,21-May,kanakpura road,2,1090.0,2.0,1.0,54.54,5003.6697247706425,545.0
Super built-up  Area,Ready To Move,yeshwanthpur,4,3600.0,5.0,0.0,220.0,6111.111111111111,900.0
Super built-up  Area,19-Mar,thanisandra,1,923.0,1.0,1.0,60.84,6591.549295774648,923.0
Super built-up  Area,Ready To Move,green glen layout,2,1050.0,2.0,2.0,48.0,4571.428571428572,525.0
Super built-up  Area,Ready To Move,whitefield,2,1495.0,2.0,2.0,79.5,5317.725752508361,747.5
Super built-up  Area,19-Mar,hennur road,3,1664.0,3.0,0.0,93.865,5640.9254807692305,554.6666666666666
Built-up  Area,Ready To Move,narayanapura,3,1485.0,3.0,2.0,85.0,5723.905723905724,495.0
Super built-up  Area,19-Dec,dommasandra,3,1033.0,2.0,2.0,31.5,3049.3707647628266,344.3333333333333
Super built-up  Area,Ready To Move,electronic city,3,1400.0,2.0,1.0,48.0,3428.5714285714284,466.6666666666667
Built-up  Area,Ready To Move,indira nagar,1,500.0,1.0,0.0,70.0,14000.0,500.0
Super built-up  Area,Ready To Move,sarjapur  road,2,944.0,2.0,1.0,35.0,3707.6271186440677,472.0
Built-up  Area,Ready To Move,whitefield,5,3250.0,5.0,0.0,290.0,8923.076923076924,650.0
Super built-up  Area,19-Mar,whitefield,2,1216.0,2.0,1.0,66.48,5467.105263157895,608.0
Super built-up  Area,Ready To Move,thanisandra,3,1743.0,3.0,2.0,93.25,5349.971313826735,581.0
Super built-up  Area,Ready To Move,yelahanka,2,1274.0,2.0,2.0,48.42,3800.6279434850862,637.0
Super built-up  Area,Ready To Move,mysore road,3,1512.0,2.0,2.0,110.0,7275.132275132275,504.0
Super built-up  Area,Ready To Move,cox town,3,1650.0,3.0,3.0,100.0,6060.606060606061,550.0
Built-up  Area,Ready To Move,doddathoguru,3,1875.0,3.0,1.0,55.0,2933.3333333333335,625.0
Built-up  Area,Ready To Move,whitefield,3,1350.0,3.0,2.0,54.0,4000.0,450.0
Plot  Area,Ready To Move,sarjapura - attibele road,3,2400.0,3.0,3.0,85.0,3541.6666666666665,800.0
Super built-up  Area,Ready To Move,hormavu,2,1141.0,2.0,1.0,44.4,3891.3234005258546,570.5
Super built-up  Area,Ready To Move,anandapura,2,1151.0,2.0,1.0,43.1,3744.5699391833186,575.5
Super built-up  Area,Ready To Move,sarjapur  road,2,915.0,2.0,1.0,38.0,4153.005464480874,457.5
Super built-up  Area,22-Dec,bannerghatta road,2,1115.0,2.0,1.0,65.12,5840.358744394619,557.5
Super built-up  Area,Ready To Move,thigalarapalya,3,2072.0,4.0,2.0,139.0,6708.494208494209,690.6666666666666
Super built-up  Area,Ready To Move,kaggadasapura,2,1200.0,2.0,2.0,53.0,4416.666666666667,600.0
Super built-up  Area,Ready To Move,singasandra,2,1300.0,2.0,2.0,65.0,5000.0,650.0
Super built-up  Area,Ready To Move,bellandur,2,1457.0,2.0,2.0,85.0,5833.905284831846,728.5
Super built-up  Area,Ready To Move,kannamangala,2,1262.0,2.0,2.0,55.0,4358.161648177496,631.0
Super built-up  Area,18-Aug,ananth nagar,2,900.0,2.0,2.0,22.5,2500.0,450.0
Built-up  Area,Ready To Move,attibele,1,420.0,1.0,1.0,17.0,4047.6190476190477,420.0
Super built-up  Area,Ready To Move,kanakapura,2,1160.0,2.0,1.0,46.39,3999.137931034483,580.0
Super built-up  Area,Ready To Move,kasavanhalli,2,1115.0,2.0,2.0,50.0,4484.304932735426,557.5
Built-up  Area,Ready To Move,jp nagar,3,1315.0,2.0,1.0,85.4,6494.296577946768,438.3333333333333
Built-up  Area,Ready To Move,babusapalaya,2,1500.0,2.0,2.0,57.0,3800.0,750.0
Super built-up  Area,Ready To Move,hsr layout,2,1127.0,2.0,1.0,68.0,6033.717834960071,563.5
Super built-up  Area,18-Feb,kundalahalli,3,1397.0,3.0,2.0,104.0,7444.523979957051,465.6666666666667
Built-up  Area,20-Dec,whitefield,2,1173.0,2.0,1.0,60.0,5115.089514066496,586.5
Super built-up  Area,Ready To Move,sompura,2,1090.0,2.0,2.0,28.0,2568.8073394495414,545.0
Super built-up  Area,Ready To Move,sarjapur  road,3,2720.0,5.0,0.0,210.0,7720.588235294118,906.6666666666666
Super built-up  Area,18-May,jakkur,2,1230.0,2.0,1.0,76.0,6178.861788617886,615.0
Super built-up  Area,19-Dec,sarjapur  road,2,858.0,2.0,1.0,31.57,3679.4871794871797,429.0
Super built-up  Area,21-Mar,talaghattapura,3,1868.0,3.0,1.0,121.0,6477.516059957174,622.6666666666666
Super built-up  Area,Ready To Move,uttarahalli,3,1689.28,3.0,2.0,91.2,5398.74976321273,563.0933333333334
Super built-up  Area,Ready To Move,banashankari,3,1425.0,3.0,3.0,49.88,3500.3508771929824,475.0
Plot  Area,Ready To Move,tindlu,2,1350.0,2.0,1.0,100.0,7407.407407407408,675.0
Built-up  Area,Ready To Move,channasandra,6,4200.0,6.0,0.0,180.0,4285.714285714285,700.0
Super built-up  Area,Ready To Move,uttarahalli,3,1310.0,2.0,1.0,85.0,6488.5496183206105,436.6666666666667
Super built-up  Area,18-Jun,haralur road,4,3185.0,4.0,0.0,175.0,5494.505494505494,796.25
Super built-up  Area,18-May,kundalahalli,3,1397.0,3.0,3.0,108.0,7730.851825340014,465.6666666666667
Super built-up  Area,18-Jul,sarjapur,2,1157.0,2.0,1.0,40.0,3457.216940363008,578.5
Super built-up  Area,Ready To Move,kasavanhalli,2,1125.0,2.0,1.0,61.2,5440.0,562.5
Super built-up  Area,Ready To Move,sonnenahalli,2,1157.0,2.0,1.0,42.0,3630.077787381158,578.5
Super built-up  Area,Ready To Move,sarjapur  road,2,1241.0,2.0,1.0,82.0,6607.57453666398,620.5
Super built-up  Area,19-Dec,binny pete,1,660.0,1.0,1.0,62.0,9393.939393939394,660.0
Built-up  Area,Ready To Move,marathahalli,4,4000.0,4.0,3.0,220.0,5500.0,1000.0
Super built-up  Area,Ready To Move,rajiv nagar,4,2340.0,4.0,1.0,148.0,6324.786324786325,585.0
Super built-up  Area,Ready To Move,brookefield,2,1139.0,2.0,2.0,80.0,7023.705004389815,569.5
Super built-up  Area,Ready To Move,thigalarapalya,4,3122.0,5.0,2.0,225.0,7206.91864189622,780.5
Super built-up  Area,19-Aug,sarjapura - attibele road,2,1033.0,2.0,2.0,28.41,2750.242013552759,516.5
Super built-up  Area,Ready To Move,yeshwanthpur,2,1168.0,2.0,2.0,64.08,5486.301369863014,584.0
Super built-up  Area,Ready To Move,chandapura,2,877.0,2.0,3.0,42.0,4789.053591790193,438.5
Built-up  Area,18-Jul,electronics city phase 1,2,1340.0,2.0,2.0,75.0,5597.014925373134,670.0
Super built-up  Area,Ready To Move,7th phase jp nagar,3,1850.0,3.0,2.0,150.0,8108.108108108108,616.6666666666666
Super built-up  Area,19-Aug,hormavu,2,1130.0,2.0,1.0,42.3,3743.362831858407,565.0
Super built-up  Area,Ready To Move,yelachenahalli,2,1080.0,2.0,2.0,55.0,5092.592592592592,540.0
Built-up  Area,Ready To Move,singasandra,4,3126.0,4.0,0.0,120.0,3838.7715930902114,781.5
Super built-up  Area,Ready To Move,begur road,3,1410.0,2.0,3.0,52.17,3700.0,470.0
Super built-up  Area,Ready To Move,bommanahalli,3,1375.0,3.0,2.0,59.0,4290.909090909091,458.3333333333333
Super built-up  Area,Ready To Move,hennur road,3,1290.0,2.0,1.0,94.5,7325.581395348837,430.0
Super built-up  Area,19-Mar,hosa road,3,1318.0,2.0,1.0,85.28,6470.40971168437,439.3333333333333
Super built-up  Area,Ready To Move,electronic city,2,1128.0,2.0,1.0,68.0,6028.368794326241,564.0
Super built-up  Area,21-Mar,kanakpura road,2,1051.0,2.0,2.0,56.74,5398.667935299714,525.5
Plot  Area,Ready To Move,kengeri,3,3500.0,5.0,0.0,275.0,7857.142857142857,1166.6666666666667
Plot  Area,Ready To Move,kannamangala,4,2400.0,4.0,1.0,130.0,5416.666666666667,600.0
Super built-up  Area,Ready To Move,yelahanka,2,1327.0,2.0,3.0,85.0,6405.42577241899,663.5
Super built-up  Area,Ready To Move,thigalarapalya,4,2912.0,6.0,2.0,210.0,7211.538461538462,728.0
Super built-up  Area,Ready To Move,basapura,2,1301.0,2.0,2.0,55.0,4227.517294388932,650.5
Plot  Area,18-Jul,varthur,3,1200.0,3.0,1.0,67.75,5645.833333333333,400.0
Built-up  Area,18-Aug,electronic city phase ii,2,1000.0,2.0,1.0,28.88,2888.0,500.0
Super built-up  Area,19-Nov,sarjapur  road,2,984.0,2.0,1.0,45.91,4665.650406504065,492.0
Super built-up  Area,22-May,jakkur,3,1819.18,3.0,1.0,160.0,8795.17145087347,606.3933333333333
Built-up  Area,Ready To Move,nagarbhavi,1,900.0,1.0,0.0,175.0,19444.444444444445,900.0
Super built-up  Area,18-Apr,hebbal,3,1355.0,3.0,1.0,83.87,6189.667896678967,451.6666666666667
Super built-up  Area,Ready To Move,sarakki nagar,3,2145.0,4.0,1.0,270.0,12587.412587412588,715.0
Super built-up  Area,Ready To Move,malleshwaram,3,2475.0,4.0,3.0,300.0,12121.212121212122,825.0
Super built-up  Area,18-Aug,kaggadasapura,2,1118.0,2.0,0.0,30.0,2683.3631484794278,559.0
Super built-up  Area,18-Mar,hosakerehalli,2,1304.0,2.0,3.0,100.0,7668.711656441717,652.0
Super built-up  Area,Ready To Move,begur road,3,1615.0,3.0,2.0,58.0,3591.331269349845,538.3333333333334
Super built-up  Area,Ready To Move,sarjapur  road,2,1400.0,2.0,2.0,68.0,4857.142857142857,700.0
Super built-up  Area,Ready To Move,cv raman nagar,2,1070.0,2.0,2.0,47.5,4439.252336448598,535.0
Super built-up  Area,17-Nov,hebbal,3,3500.0,3.0,3.0,395.0,11285.714285714286,1166.6666666666667
Super built-up  Area,22-Jun,hoodi,2,1132.0,2.0,1.0,89.37,7894.876325088339,566.0
Super built-up  Area,Ready To Move,sector 2 hsr layout,1,794.0,1.0,2.0,65.0,8186.39798488665,794.0
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2,1090.0,2.0,2.0,43.59,3999.0825688073396,545.0
Super built-up  Area,Ready To Move,gottigere,3,1500.0,3.0,2.0,70.0,4666.666666666667,500.0
Super built-up  Area,Ready To Move,1st phase jp nagar,3,2059.0,3.0,2.0,225.0,10927.634774162214,686.3333333333334
Super built-up  Area,21-Jan,kanakpura road,1,525.0,1.0,1.0,30.0,5714.285714285715,525.0
Super built-up  Area,18-May,bhoganhalli,2,1447.0,2.0,1.0,75.97,5250.172771250864,723.5
Super built-up  Area,20-Dec,whitefield,2,1269.0,2.0,1.0,75.0,5910.16548463357,634.5
Super built-up  Area,Ready To Move,kanakpura road,2,1070.0,2.0,2.0,37.45,3500.0000000000005,535.0
Super built-up  Area,Ready To Move,talaghattapura,2,1150.0,2.0,0.0,28.0,2434.782608695652,575.0
Super built-up  Area,Ready To Move,marathahalli,2,1208.0,2.0,2.0,70.0,5794.701986754967,604.0
Super built-up  Area,Ready To Move,ramamurthy nagar,2,1185.0,2.0,1.0,45.5,3839.662447257384,592.5
Plot  Area,Ready To Move,laggere,3,1200.0,3.0,1.0,130.0,10833.333333333334,400.0
Super built-up  Area,Ready To Move,anekal,2,888.0,2.0,1.0,34.0,3828.828828828829,444.0
Super built-up  Area,18-Aug,chandapura,2,1015.0,2.0,2.0,25.88,2549.753694581281,507.5
Built-up  Area,Ready To Move,electronic city,1,700.0,1.0,1.0,35.0,5000.0,700.0
Super built-up  Area,Ready To Move,uttarahalli,2,1175.0,2.0,1.0,47.0,4000.0,587.5
Super built-up  Area,19-Dec,binny pete,2,1365.0,2.0,1.0,122.0,8937.728937728938,682.5
Super built-up  Area,Ready To Move,doddathoguru,2,984.0,2.0,1.0,51.0,5182.926829268293,492.0
Plot  Area,Ready To Move,hebbal,4,2700.0,2.0,2.0,100.0,3703.703703703704,675.0
Super built-up  Area,Ready To Move,jalahalli east,3,1475.0,3.0,2.0,96.0,6508.474576271186,491.6666666666667
Super built-up  Area,Ready To Move,haralur road,2,1300.0,2.0,2.0,79.0,6076.923076923077,650.0
Built-up  Area,Ready To Move,babusapalaya,3,1453.0,2.0,2.0,43.59,3000.0,484.3333333333333
Built-up  Area,Ready To Move,akshaya nagar,3,1666.0,3.0,0.0,95.0,5702.280912364946,555.3333333333334
Plot  Area,Ready To Move,akshaya nagar,4,1410.0,4.0,2.0,160.0,11347.517730496455,352.5
Super built-up  Area,Ready To Move,murugeshpalya,3,1845.0,3.0,3.0,91.0,4932.249322493225,615.0
Super built-up  Area,Ready To Move,sarjapura - attibele road,3,1676.0,3.0,3.0,52.0,3102.6252983293557,558.6666666666666
Super built-up  Area,20-Dec,uttarahalli,2,1137.0,2.0,1.0,63.0,5540.8970976253295,568.5
Super built-up  Area,Ready To Move,electronic city,3,1360.0,2.0,1.0,70.5,5183.823529411765,453.3333333333333
Built-up  Area,Ready To Move,judicial layout,3,1700.0,3.0,2.0,155.0,9117.64705882353,566.6666666666666
Plot  Area,Ready To Move,whitefield,5,3227.0,5.0,0.0,250.0,7747.133560582584,645.4
Super built-up  Area,18-May,kasavanhalli,3,2170.0,3.0,2.0,151.0,6958.52534562212,723.3333333333334
Built-up  Area,Ready To Move,electronic city phase ii,3,1790.0,3.0,3.0,100.0,5586.592178770949,596.6666666666666
Super built-up  Area,Ready To Move,doddathoguru,1,550.0,1.0,1.0,17.0,3090.909090909091,550.0
Super built-up  Area,Ready To Move,poorna pragna layout,3,1270.0,2.0,2.0,50.79,3999.212598425197,423.3333333333333
Built-up  Area,Ready To Move,somasundara palya,2,1033.0,2.0,2.0,48.0,4646.660212971927,516.5
Super built-up  Area,19-Dec,binny pete,4,2940.0,6.0,2.0,280.0,9523.809523809523,735.0
Plot  Area,Ready To Move,kasturi nagar,5,1650.0,5.0,1.0,450.0,27272.727272727272,330.0
Super built-up  Area,Ready To Move,kambipura,2,883.0,2.0,1.0,39.0,4416.761041902605,441.5
Super built-up  Area,Ready To Move,marathahalli,3,1730.0,3.0,3.0,139.0,8034.682080924856,576.6666666666666
Super built-up  Area,Ready To Move,kasavanhalli,3,1915.0,3.0,3.0,80.0,4177.545691906005,638.3333333333334
Super built-up  Area,Ready To Move,whitefield,3,1545.0,3.0,2.0,79.0,5113.26860841424,515.0
Super built-up  Area,Ready To Move,hebbal kempapura,2,1150.0,2.0,2.0,40.0,3478.2608695652175,575.0
Built-up  Area,Ready To Move,kengeri,2,963.0,2.0,2.0,40.0,4153.686396677051,481.5
Super built-up  Area,Ready To Move,basavangudi,4,2600.0,4.0,3.0,260.0,10000.0,650.0
Built-up  Area,Ready To Move,kaikondrahalli,4,1700.0,4.0,0.0,108.0,6352.941176470588,425.0
Super built-up  Area,Ready To Move,lingadheeranahalli,3,1682.0,3.0,1.0,120.0,7134.36385255648,560.6666666666666
Built-up  Area,Ready To Move,yelahanka,3,1371.0,2.0,2.0,65.0,4741.064916119621,457.0
Super built-up  Area,21-Mar,hennur road,2,901.0,2.0,1.0,49.5,5493.895671476138,450.5
Super built-up  Area,Ready To Move,ambalipura,3,1730.0,3.0,1.0,120.0,6936.416184971098,576.6666666666666
Plot  Area,Ready To Move,konanakunte,4,1200.0,4.0,0.0,125.0,10416.666666666666,300.0
Super built-up  Area,Ready To Move,epip zone,3,1500.0,3.0,3.0,102.0,6800.0,500.0
Super built-up  Area,Ready To Move,sarjapur  road,4,3785.0,6.0,0.0,280.0,7397.622192866578,946.25
Super built-up  Area,Ready To Move,horamavu banaswadi,2,1357.0,2.0,2.0,54.0,3979.3662490788506,678.5
Built-up  Area,Ready To Move,yelahanka new town,1,350.0,1.0,1.0,13.5,3857.1428571428573,350.0
Super built-up  Area,Ready To Move,varthur,3,1665.0,3.0,1.0,53.0,3183.1831831831832,555.0
Plot  Area,Ready To Move,ramamurthy nagar,3,1400.0,3.0,3.0,200.0,14285.714285714286,466.6666666666667
Super built-up  Area,Ready To Move,sarjapur  road,1,835.0,1.0,1.0,46.95,5622.754491017964,835.0
Super built-up  Area,Ready To Move,haralur road,3,1444.0,2.0,1.0,80.0,5540.16620498615,481.3333333333333
Super built-up  Area,Ready To Move,kanakapura,2,1277.0,2.0,2.0,55.0,4306.969459671104,638.5
Super built-up  Area,Ready To Move,lingadheeranahalli,3,1521.0,3.0,1.0,94.71,6226.824457593689,507.0
Super built-up  Area,Ready To Move,vasanthapura,2,995.0,2.0,1.0,34.82,3499.497487437186,497.5
Super built-up  Area,Ready To Move,old madras road,3,2760.0,5.0,2.0,157.0,5688.405797101449,920.0
Built-up  Area,Ready To Move,marathahalli,2,1325.0,1.0,1.0,92.0,6943.396226415094,662.5
Built-up  Area,Ready To Move,kothanur,6,4000.0,6.0,0.0,150.0,3750.0,666.6666666666666
Built-up  Area,Ready To Move,marathahalli,3,1525.0,3.0,2.0,90.0,5901.639344262295,508.3333333333333
Super built-up  Area,Ready To Move,electronics city phase 1,1,650.0,1.0,1.0,23.0,3538.4615384615386,650.0
Built-up  Area,Ready To Move,old airport road,3,1858.0,2.0,1.0,167.0,8988.15931108719,619.3333333333334
Super built-up  Area,21-Aug,electronic city,2,1150.0,2.0,1.0,38.0,3304.3478260869565,575.0
Super built-up  Area,Ready To Move,electronic city phase ii,2,769.0,2.0,1.0,40.0,5201.560468140442,384.5
Super built-up  Area,Ready To Move,electronic city,3,1571.0,3.0,2.0,105.0,6683.64099299809,523.6666666666666
Super built-up  Area,Ready To Move,hennur road,3,1445.0,3.0,1.0,86.56,5990.311418685121,481.6666666666667
Super built-up  Area,Ready To Move,hosur road,3,1590.0,2.0,2.0,135.0,8490.566037735849,530.0
Super built-up  Area,Ready To Move,bommasandra,2,902.0,2.0,2.0,49.0,5432.372505543237,451.0
Plot  Area,18-Mar,sarjapur,3,2238.0,3.0,1.0,140.0,6255.585344057194,746.0
Built-up  Area,18-Dec,electronic city,2,1090.0,2.0,1.0,31.49,2888.9908256880735,545.0
Built-up  Area,Ready To Move,yelahanka,3,1712.0,3.0,3.0,82.0,4789.719626168225,570.6666666666666
Built-up  Area,Ready To Move,haralur road,2,1088.0,2.0,1.0,68.0,6250.0,544.0
Super built-up  Area,Ready To Move,somasundara palya,3,1575.0,3.0,3.0,63.1,4006.3492063492063,525.0
Super built-up  Area,Ready To Move,kundalahalli,3,1920.0,3.0,2.0,150.0,7812.5,640.0
Plot  Area,Ready To Move,margondanahalli,2,1000.0,2.0,0.0,57.0,5700.0,500.0
Super built-up  Area,Ready To Move,electronic city,2,1089.0,2.0,2.0,45.0,4132.231404958678,544.5
Built-up  Area,Ready To Move,horamavu agara,2,1106.0,2.0,1.0,43.09,3896.021699819168,553.0
Super built-up  Area,18-Dec,kengeri,2,927.0,2.0,2.0,37.0,3991.3700107874865,463.5
Super built-up  Area,Ready To Move,kanakpura road,2,1339.0,2.0,2.0,58.0,4331.59073935773,669.5
Built-up  Area,21-Dec,thanisandra,1,923.0,1.0,1.0,45.69,4950.162513542795,923.0
Plot  Area,18-Aug,sarjapur  road,3,2900.0,3.0,2.0,285.0,9827.586206896553,966.6666666666666
Super built-up  Area,Ready To Move,lakshminarayana pura,2,1175.0,2.0,2.0,75.0,6382.978723404255,587.5
Built-up  Area,Ready To Move,thubarahalli,2,975.0,2.0,1.0,55.0,5641.025641025641,487.5
Super built-up  Area,Ready To Move,hebbal,3,2400.0,4.0,1.0,180.0,7500.0,800.0
Super built-up  Area,Ready To Move,subramanyapura,3,1330.0,3.0,2.0,72.0,5413.533834586467,443.3333333333333
Super built-up  Area,20-Dec,thanisandra,2,1183.0,2.0,1.0,59.74,5049.873203719358,591.5
Super built-up  Area,Ready To Move,harlur,3,1758.0,3.0,2.0,133.0,7565.415244596132,586.0
Plot  Area,Ready To Move,nagarbhavi,3,1200.0,3.0,2.0,265.0,22083.333333333332,400.0
Super built-up  Area,19-Dec,hebbal,3,1255.0,2.0,1.0,77.68,6189.641434262949,418.3333333333333
Built-up  Area,Ready To Move,pai layout,2,1100.0,2.0,2.0,50.0,4545.454545454545,550.0
Super built-up  Area,18-Dec,ramamurthy nagar,2,1170.0,2.0,2.0,46.8,4000.0,585.0
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3,1530.0,3.0,3.0,51.77,3383.6601307189544,510.0
Built-up  Area,17-Dec,hebbal,2,1420.0,2.0,2.0,107.0,7535.211267605634,710.0
Super built-up  Area,19-Jan,kanakpura road,3,1591.0,3.0,1.0,115.0,7228.158390949088,530.3333333333334
Super built-up  Area,Ready To Move,7th phase jp nagar,3,1680.0,3.0,2.0,120.0,7142.857142857143,560.0
Super built-up  Area,19-Dec,hoodi,2,1055.0,2.0,1.0,57.63,5462.559241706161,527.5
Super built-up  Area,Ready To Move,iblur village,3,1918.0,3.0,2.0,129.0,6725.7559958289885,639.3333333333334
Super built-up  Area,18-Jan,sarjapur  road,2,1280.0,2.0,1.0,76.0,5937.5,640.0
Super built-up  Area,Ready To Move,nagarbhavi,3,1560.0,3.0,3.0,66.0,4230.7692307692305,520.0
Super built-up  Area,Ready To Move,sarjapur  road,2,1145.0,2.0,2.0,49.5,4323.144104803493,572.5
Super built-up  Area,Ready To Move,talaghattapura,3,2106.0,3.0,2.0,126.0,5982.9059829059825,702.0
Super built-up  Area,Ready To Move,rajaji nagar,2,1718.0,3.0,2.0,288.0,16763.678696158324,859.0
Super built-up  Area,20-Jun,whitefield,3,1306.0,3.0,2.0,54.65,4184.532924961715,435.3333333333333
Super built-up  Area,19-Jun,hebbal,2,1320.0,2.0,1.0,92.0,6969.69696969697,660.0
Built-up  Area,Ready To Move,kalyan nagar,4,3800.0,5.0,3.0,300.0,7894.736842105263,950.0
Super built-up  Area,Ready To Move,bannerghatta road,3,1344.0,2.0,1.0,42.0,3125.0,448.0
Super built-up  Area,Ready To Move,bannerghatta road,3,1893.0,3.0,2.0,100.0,5282.620179609086,631.0
Super built-up  Area,Ready To Move,chandapura,3,1107.0,2.0,1.0,43.0,3884.3721770551037,369.0
Super built-up  Area,Ready To Move,lakshminarayana pura,2,1190.0,2.0,1.0,75.0,6302.5210084033615,595.0
Built-up  Area,Ready To Move,whitefield,2,1000.0,2.0,1.0,35.0,3500.0,500.0
Super built-up  Area,Ready To Move,kumaraswami layout,2,1000.0,2.0,1.0,48.5,4850.0,500.0
Super built-up  Area,Ready To Move,jalahalli,3,2113.0,3.0,2.0,155.0,7335.541883577851,704.3333333333334
Built-up  Area,Ready To Move,kr puram,2,1100.0,2.0,1.0,46.0,4181.818181818182,550.0
Super built-up  Area,Ready To Move,harlur,4,1884.0,4.0,2.0,120.0,6369.426751592357,471.0
Super built-up  Area,Ready To Move,electronic city,2,1110.0,2.0,1.0,40.0,3603.6036036036035,555.0
Super built-up  Area,Ready To Move,kudlu,2,1027.0,2.0,2.0,43.0,4186.952288218111,513.5
Built-up  Area,Ready To Move,sarjapur  road,3,1470.0,3.0,0.0,62.0,4217.687074829932,490.0
